English,Russian
highness,высокость,734
hill,горка,735
hinder,мешать,736
hire,наймать,737
hoard,складывать,738
hog,свинья,739
hold,держать,740
hole,дыра,741
holiday,праздник,742
homeless,бездомный,743
homely,уютный,744
honor,честь,745
hook,крючок,746
hoping,надеяться,747
horizon,горизонт,748
horse,лошадь,749
hostile,враждебный,750
hourglass,часовой механизм,751
household,домашний,752
howl,выть,753
hover,лететь,754
humiliation,умилостивление,755
hunger,голод,756
hunt,охотиться,757
hurry,спешить,758
husband,муж,759
hyperbole,перегородка,760
hypnotic,гипнотический,761
iceberg,ледник,762
idea,идея,763
identical,одинаковый,764
identify,выявлять,765
idolize,подражать,766
ignite,зажигать,767
imaginary,мифический,768
imagine,визуализировать,769
immense,огромный,770
importance,важность,771
inadequate,недостаточный,772
inactive,бездейственный,773
incorrect,неправильный,774
increase,увеличение,775
indifference,безразличие,776
individual,индивидуальный,777
infamous,плохой,778
infatuate,влюблять,779
influence,влиять,780
informal,неподготовленный,781
information,информация,782
inheritance,наследство,783
inhumane,нечеловеческий,784
innocent,невиновный,785
input,вводить,786
inquire,спрашивать,787
insanity,безумие,788
insist,нажимать,789
insurance,страхование,790
intact,целостный,791
interact,погружаться,792
intercept,перехватывать,793
interest,интерес,794
intermediate,средний,795
internal,внутренний,796
interpret,толковать,797
interrupt,прерывание,798
intimate,близкий,799
invade,занимать,800
invent,изобретать,801
investigate,исследовать,802
invisible,невидимый,803
invite,предлагать,804
irresistible,неотразимый,805
isolation,одиночество,806
issue,вопрос,807
itchy,скучный,808
itinerary,маршрут,809
jackal,манул,810
jealous,завистливый,811
jerk,переход,812
jittery,беспокойный,813
jobless,безработный,814
joyful,радостный,815
judge,судить,816
jump,скакать,817
justice,справедливость,818
karma,карума,819
keep,держать,820
kill,убивать,821
kind,добрый,822
kinetic,кинетический,823
kiss,целовать,824
knowingly,знающий,825
labour,труд,826
lack,недостаток,827
lamb,овца,828
language,язык,829
laughter,смех,830
lawful,законный,831
layman,неподготовленный,832
lead,вести,833
leak,течь,834
leaf,лист,835
learn,учиться,836
lease,наймать,837
leave,оставлять,838
legitimate,справедливый,839
leisure,время свободное,840
lend,займать,841
lengthy,долгий,842
lessen,уменьшить,843
let,позволять,844
level,уровень,845
liberal,свободный,846
lie,ложь,847
lifeless,безжизненный,848
light,свет,849
like,подобрать,850
limited,ограниченный,851
limp,потерять равновесие,852
lineage,родословная,853
linger,остаться,854
lion's share,золотая горка,855
liquidate,ликвидировать,856
list,список,857
listen,слушать,858
little,маленький,859
lively,живой,860
loan,займ,861
local,местный,862
loftily,величаво,863
logarithm,логарифм,864
lookout,сторожевой пост,865
loom,бить,866
longevity,долголетие,867
loot,кража,868
lordship,власть,869
lose,потерять,870
loss,потеря,871
lotus,лотос,872
loveless,ненавистный,873
lucky,удачливый,874
lumber,лесоматериал,875
lunacy,безумие,876
luminous,светящийся,877
lustful,жадный,878
luxurious,шикарный,879
lyre,лира,880
macroscopic,микроскопический,881
magnify,увеличить,882
maintain,поддерживать,883
majority,большинство,884
make,делать,885
malevolent,плохой,886
maneuver,маневр,887
manicure,стрижка ногтей,888
mankind,человечество,889
many,многочисленный,890
maple,ясень,891
marble,мрамор,892
margin,промежуток,893
marriage,брак,894
mask,маска,895
masturbation,телесное удовлетворение,896
materialism,материализм,897
mathematical,математический,898
matrix,сеть,899
maximize,максимизировать,900
mealtime,время приема пищи,901
meanwhile,пока,902
meditate,заниматься медитацией,903
medium,средство,904
meet,встречать,905
melt,таять,906
memorandum,документ,907
memory,память,908
mention,упоминание,909
mental,ментальный,910
mentorship,наставничество,911
merge,слияние,912
messy,холостой,913
metaphysics,метафизика,914
microscope,микроскоп,915
midnight,полночь,916
mighty,великий,917
milk,молоко,918
mindful,сознательный,919
mineral,минерал,920
minority,меньшинство,921
miracle,чудо,922
misery,беда,923
mistake,ошибка,924
mixture,микстура,925
model,модель,926
moderate,средний,927
momentum,момент,928
monk,монах,929
monthly,ежемесячный,930
moonlight,луна,931
moral,нравственный,932
morality,нравственность,933
moreover,кроме того,934
most,наибольший,935
motherhood,материнство,936
motivation,мотивация,937
mountainous,горный,938
mouthwatering,вкусный,939
move,двигаться,940
multiplied,умножать,941
multiplying,размножение,942
muscle,мышца,943
musician,музыкант,944
mysterious,загадочный,945
mythical,легендарный,946
nadir,низшая точка,947
naive,напыщенный,948
naturalism,природничество,949
nature,природа,950
neatly,как обычно,951
needle,игла,952
negative,отрицательный,953
neighborhood,округ,954
necessity,необходимость,955
needless,бесполезный,956
neglect,забывать,957
networking,сетевое взаимодействие,958
newbie,новичок,959
newsflash,объявление о новости,960
nightly,ночью,961
nonchalant,бесхитростный,962
nonverbal,невербальный,963
noontide,полдень,964
nonsense,бессмыслица,965
normality,нормальность,966
notebook,записная книга,967
novelty,новизна,968
nutrient,пища,969
obedience,подчинение,970
objectivity,объективность,971
oblige,обязывать,972
obsess,захватывать,973
obstacle,препятствие,974
obvious,очевидный,975
occupation,работа,976
odyssey,путешествие,977
offender,злоумышленник,978
offer,предложение,979
oftentimes,часто,980
oh-so,очень,981
okayness,удовлетворенность,982
old-fashioned,старомодный,983
omniscient,всезнающий,984
onboard,на борту,985
once-in-a-lifetime,бесценное событие,986
one-to-one,один ко одному,987
online,онлайн,988
open-minded,открытый,989
opinion,мнение,990
oppose,сопротивляться,991
oppressive,тюремный,992
option,выбор,993
ordeal,испытание,994
orderly,организованный,995
ordinary,обычный,996
organization,организация,997
originality,оригинальность,998
origin,источник,999
outcaste,изгнанец,1000
Word,Слово
the,который
be,быть
and,и
of,от
a,а
in,в
to,ко
have,иметь
it,это
I,я
that,что
for,для
you,ты
he,он
with,с
on,на
do,делать
say,скажу
this,этот
they,они
at,в
but,но
we,мы
his,его
from,из
not,не
n't,не
by,по
she,она
or,или
as,как
what,что
go,идти
their,их
can,мочь
who,кто
get,получить
if,если
would,было
her,её
all,все
my,моё
make,делать
about,о
know,знать
will,будет
as,как
up,вверх
one,один
time,время
there,там
year,год
so,так
think,думать
when,когда
which,который
them,их
some,некоторое
me,меня
people,люди
take,брать
out,на
into,в
just,только
see,видеть
him,него
your,твой
come,прийти
could,мочь
now,сейчас
than,чем
like,как
other,другой
how,как
then,тогда
its,его
our,наш
two,два
more,больше
these,эти
want,хотеть
way,способ
look,смотреть
first,первый
also,также
new,новый
because,потому что
day,день
more,больше
use,использовать
no,нет
man,человек
find,найти
here,здесь
thing,вещь
give,дать
many,много
well,хорошо
only,только
those,те
tell,скажи
one,один
very,очень
her,её
even,также
back,назад
any,какой-либо
good,хороший
woman,женщина
through,через
us,нас
life,жизнь
child,ребенок
there,там
work,работать
down,низко
may,может
after,после
should,должно
call,звать
world,мир
over,над
school,школа
still,сейчас
try,попробовать
in,в
as,как
last,последний
ask,спросить
need,нуждать
too,слишком
feel,чувствовать
three,три
when,когда
state,государство
never,никогда
become,становиться
between,между
high,высокий
really,действительно
something,что-то
most,наибольшее
another,другой
much,много
family,семья
own,свой
out,на
leave,уходить
put,поставить
old,старый
while,при этом
mean,означать
on,на
keep,держивать
student,ученик
why,почему
let,дать
great,грандиозный
same,тот же
big,большой
group,группа
begin,начинать
seem,казаться
country,страна
help,помочь
talk,разговаривать
where,где
turn,поворачиваться
problem,задача
every,каждый
start,начинать
hand,рука
might,может
American,американец
show,показывать
part,часть
about,о
against,против
place,место
over,над
such,такой
again,снова
few,несколько
case,случай
most,наибольшее
week,неделя
company,компания
where,где
system,система
each,каждый
right,правильный
program,программа
hear,слышать
so,так
question,вопрос
during,во время
work,работать
play,играть
government,правительство
run,бежать
small,маленький
number,число
off,от
always,заметь
move,двигаться
like,как
night,ночь
live,жить
Mr,господин
point,точка
believe,веровать
hold,держать
today,сегодня
bring,принести
happen,случиться
next,следующий
without,без
before,до
large,большой
all,все
million,миллион
must,должно
home,дом
under,под
water,вода
room,комната
write,писать
mother,матерь
area,область
national,национальный
money,денег
story,история
young,молодой
fact,факт
month,месяц
different,различный
lot,много
right,правильный
study,изучать
book,книга
eye,глаз
job,работа
word,слово
though,хотя
business,бизнес
issue,вопрос
side,сторона
kind,вид
four,четвертый
head,головка
far,дальний
black,черный
long,длинный
both,оба
little,маленький
house,дом
yes,да
after,после
since,с тех пор как
long,длинный
provide,предоставлять
service,услуга
around,вокруг
friend,друг
important,важный
father,отец
sit,сидеть
away,удаленный
until,до того момента
power,мощь
hour,час
game,игра
often,часто
yet,еще
line,линия
political,политический
end,конец
among,между
ever,никогда
stand,стоять
bad,плохой
lose,проиграть
however,днесь
member,член
pay,оплатить
law,закон
meet,сойтись
car,машина
city,город
almost,почти
include,включать
continue,продолжать
set,набор
later,позже
community,общность
much,много
name,имя
five,пятый
once,один раз
white,белый
least,наименьший
president,президент
learn,знать
real,реальный
change,изменять
team,команда
minute,минута
best,лучший
several,несколько
idea,идея
kid,ребенок
body,тело
information,информация
nothing,ничто
ago,раньше
right,правильный
lead,вести
social,общественный
understand,понимать
whether,либо
back,назад
watch,смотреть
together,вместе
follow,следовать
around,вокруг
parent,родитель
only,только
stop,остановить
face,лицо
anything,что-либо
create,создавать
public,общественный
already,уже
speak,говорить
others,другие
read,читать
level,уровень
allow,разрешать
add,добавлять
office,офис
spend,тратить
door,дверь
health,здоровье
person,человек
art,искусство
sure,ужасно
such,такой
war,война
history,история
party,партия
within,внутри
grow,расти
result,результат
open,открытый
change,изменять
morning,утро
walk,ходить
reason,причина
low,низкий
win,выиграть
research,исследование
girl,девочка
guy,парень
early,ранний
help,помогать
talk,говорить
where,где
turn,поворачивать
problem,задача
every,каждый
start,начинать
hand,рука
might,можно
American,американец
show,показывать
part,часть
about,о
against,против
place,место
over,над
such,такой
again,заново
few,немного
case,случае
most,большинство
week,неделя
company,компания
where,где
system,система
each,каждый
right,правильный
program,программа
hear,слышать
so,так
question,вопрос
during,во время
work,работать
play,играть
government,правительство
run,бежать
small,маленький
number,число
off,от
always,заметь
move,двигаться
like,как
night,ночь
live,жить
Mr,господин
point,точка
believe,веровать
hold,держать
today,сегодня
bring,принести
happen,случиться
next,следующий
without,без
before,до
large,большой
all,все
million,миллион
must,должно
home,дом
under,под
water,вода
room,комната
write,писать
mother,матерь
area,область
national,национальный
money,денег
story,история
young,молодой
fact,факт
month,месяц
different,различный
lot,много
right,правильный
study,изучать
book,книга
eye,глаз
job,работа
word,слово
though,хотя
business,бизнес
issue,вопрос
side,сторона
kind,вид
four,четвертый
head,головка
far,дальний
black,черный
long,длинный
both,оба
little,маленький
house,дом
yes,да
after,после
since,с тех пор как
long,длинный
provide,предоставлять
service,услуга
around,вокруг
friend,друг
important,важный
father,отец
sit,сидеть
away,удаленный
until,до того момента
power,мощь
hour,час
game,игра
often,часто
yet,еще
line,линия
political,политический
end,конец
among,между
ever,никогда
stand,стоять
bad,плохой
lose,проиграть
however,днесь
member,член
pay,оплатить
law,закон
meet,сойтись
car,машина
city,город
almost,почти
include,включать
continue,продолжать
set,набор
later,позже
community,общность
much,много
name,имя
five,пятый
once,один раз
white,белый
least,наименьший
president,президент
learn,знать
real,реальный
change,изменять
team,команда
minute,минута
best,лучший
several,несколько
idea,идея
kid,ребенок
body,тело
information,информация
nothing,ничто
ago,раньше
right,правильный
lead,вести
social,общественный
understand,понимать
whether,либо
back,назад
watch,смотреть
together,вместе
follow,следовать
around,вокруг
parent,родитель
only,только
stop,остановить
face,лицо
anything,что-либо
create,создавать
public,общественный
already,уже
speak,говорить
others,другие
read,читать
level,уровень
allow,разрешать
add,добавлять
office,офис
"the","столетья"
"be","быть"
"and","и"
"of","о"
"a","а"
"in","в"
"to","к"
"have","иметь"
"to","к"
"it","оно"
"I","я"
"that","тот"
"for","для"
"you","ты"
"he","он"
"with","с"
"on","на"
"do","делать"
"say","скажите"
>this","этот"
"they","они"
"at","в"
"But","но"
"we","мы"
"his","его"
"from","из"
"that","тот"
"not","не"
"n't","не"
"by","у"
"She","она"
"or","или"
"as","как"
"What","что"
"go","идти"
"their","их"
"can","может"
"who","кто"
"get","получить"
"if","если"
"would","было бы"
"her","её"
"all","все"
"my","мой"
"make","сделать"
"about","о"
"know","знать"
"will","будет"
"as","как"
"up","вверх"
"one","один"
"time","время"
"there","там"
"year","год"
"so","так"
"think","думать"
"when","когда"
"which","который"
"them","них"
"some","некоторые"
"me","меня"
"people","люди"
"take","брать"
"out","на"
"into","в"
"just","только что"
"see","видеть"
"Him","его"
"your","твоё"
"come","прибыть"
"could","могло бы"
"now","сейчас"
"than","чем"
"like","как"
"other","другой"
"How","как"
"then","затем"
"its","её"
"our","наш"
"two","два"
"more","больше"
"these","эти"
.want,"хотеть"
"way","путь"
"look","смотреть"
"first","сначала"
"also","также"
"new","новый"
"because","потому что"
"day","день"
"more","больше"
"use","использовать"
"no","нет"
"man","человек"
"find","найти"
"here","здесь"
"thing","вещь"
"give","дать"
"many","многие"
"well","хорошо"
"only","только"
"those","те"
"tell","скажите"
"one","один"
"very","очень"
"her","её"
"even","наверно"
"back","назад"
"any","какой-либо"
"good","хороший"
"woman","женщина"
"through","через"
"us","нас"
"life","жизнь"
"child","ребенок"
"there","там"
"work","работа"
"down","вниз"
"may","может"
"after","после"
"should","должно"
"call","звонить"
"world","мир"
"over","над"
"school","школа"
"still","по-прежнему"
"try","попытаться"
"in","в"
"as","как"
"last","последний"
"ask","спросить"
"need","необходимость"
"too","слишком"
"feel","чувствовать"
"three","три"
"when","когда"
"state","государство"
"never","никогда"
"become","становиться"
"between","между"
"high","высокий"
"really","действительно"
"something","что-то"
"most","большинство"
"another","другой"
"much","много"
"family","семья"
"own","свой"
"out","на"
"leave","уйти"
"put","поставить"
"old","старый"
"while","затем"
"mean","значит"
"on","на"
"keep","держать"
"student","ученик"
"why","почему"
"let","позволять"
"great","великий"
"same","тот же"
"big","большой"
"group","группа"
"begin","начать"
"seem","сказать"
"country","страна"
"help","помочь"
"talk","говорить"
"where","где"
"turn","повернуть"
"problem","задача"
"every","каждый"
"start","начать"
"hand","рука"
"might","можно"
"American","американец"
"show","показать"
"part","часть"
"about","о"
"against","против"
"place","место"
"over","над"
"such","такой"
"again","опять"
"few","немного"
"case","случай"
"most","большинство"
"week","неделя"
"company","компания"
"where","где"
"system","система"
"each","каждый"
"right","правый"
"program","программа"
"hear","слышать"
"so","так"
"question","вопрос"
"during","во время"
"work","работа"
"play","играть"
"government","государство"
"run","бежать"
"small","маленький"
"number","число"
"off","с"
"always","всегда"
"move","переместить"
"like","как"
"night","ночь"
"live","жить"
"Mr.","мистер"
"point","точка"
"believe","верить"
"hold","держать"
"today","сегодня"
"bring","принести"
"happen","случаться"
"next","следующий"
"without","без"
"before","до"
"large","большой"
"all","все"
"million","миллион"
"must","должно"
"home","дом"
"under","под"
"water","вода"
"room","комната"
"write","писать"
"mother","матерь"
"area","область"
"national","национальный"
"money","денег"
"story","история"
"young","молодой"
"fact","факт"
"month","месяц"
"different","разный"
"lot","много"
"right","правый"
"study","изучать"
"book","книга"
"eye","глаз"
"job","работа"
"word","слово"
"though","хотя"
"business","бизнес"
"issue","вопрос"
"side","сторона"
"kind","вид"
"four","четыре"
"head","голова"
"far","далеко"
"black","черный"
"long","долгий"
"both","и"
"little","маленький"
"house","дом"
"Yes","да"
"after","после"
"since","поскольку"
"long","долгий"
"provide","предоставить"
"service","сервис"
"around","вокруг"
"friend","друг"
"important","важный"
"father","отец"
"sit","сидеть"
"away","от"
"until","до"
"power","сила"
"hour","час"
"game","игра"
"often","часто"
"yet","еще не"
"line","лайн"
"political","политический"
"end","конец"
"among","между"
"ever","всегда"
"stand","стоять"
"bad","плохой"
"lose","проиграть"
"however","dochto"
"member","член"
"pay","оплатить"
"law","закон"
"meet","встретиться"
"car","автомобиль"
"city","город"
"almost","почти"
"include","включать"
"continue","продолжать"
"set","сеть"
"later"," позже"
"community","общество"
"much","много"
"name","имя"
"five","пять"
"once","один раз"
"white","белый"
"least","менее"
"president","президент"
"learn","учиться"
"real","действительный"
"change","изменить"
"team","команда"
"minute","минута"
"best","лучший"
"several","несколько"
"idea","идея"
"kid","ребенок"
"body","тело"
"information","информация"
"nothing","ничто"
"ago","ранее"
"right","правый"
"lead","вести"
"social","социальный"
"understand","понимать"
"whether","либо"
"back","назад"
"watch","смотреть"
"together","вместе"
"follow","следовать"
"around","вокруг"
"parent","родитель"
.only,"только"
"stop","остановить"
"face","лицо"
"anything","что угодно"
"create","создать"
"public","общественный"
"already","уже"
"speak","говорить"
"others","другие"
"read","читать"
"level","уровень"
"allow","разрешить"
"add","добавить"
"office","офис"
"spend","затратить"
"door","дверь"
"health","здоровье"
"person","человек"
"art","искусство"
"sure,"конечно"
"such,"такой
"war","война"
"history","история"
"party","партия"
"within","с внутри"
"grow","расти"
"result","результат"
"open","открытый"
"change","изменить"
"morning","утро"
"walk","ходить"
"reason","причина"
"low","низкий"
"win","выиграть"
"research","исследование"
"girl","девочка"
"guy","мальчик"
"early","ранний"
"food","еда"
"before","до"
"moment","момент"
"himself","сам себя"
"air","воздух"
"teacher","наставник"
"force","сила"
"offer","предложить"
"enough","достаточно"
"both","и"
"education","образование"
"across","через"
"although","хотя"
"remember","запомнить"
"foot","нога"
"second","секунда"
"boy","мальчик"
"maybe","может быть"
"toward","в направлении"
"able","способный"
"age","возраст"
"off","с"
"policy","политика"
"everything","все"
"love","любовь"
"process","процесс"
"music","музыка"
"including","включая"
"consider","сомневаться"
"appear","появиться"
"actually,"на самом деле"
"buy,"купить
"probably","вероятно"
"human","человек"
"wait","ждать"
"serve","служить"
"market","рынок"
"die","умереть"
"send","послать"
"expect","ожидать"
/home","дом"
"sense","смысл"
"build","строить"
"stay","остаться"
"fall","падение"
"oh,"о
"nation","нация"
"plan","план"
"cut","резать"
"college","колледж"
"interest","интерес"
"death","смерть"
"course","курс"
"somone","что-то"
"experience","опыт"
"behind","за спиной"
"reach","достичь"
"local","местный"
"kill","убить"
"six","шесть"
"remain","оставаться"
"effect","эффективность"
"use","использовать"
"yeah","да"
"class","класс"
"control","контроль"
"raise","поднять"
"care","забота"
"perhaps","может быть"
"little","маленький"
"late","поздно"
"hard","трудный"
"field","поле"
"else","иное"
"pass","перейти"
"former","бывший"
"sell","продать"
"major","основной"
"sometimes","иногда"
"require","требовать"
"along","вокруг"
"development","развитие"
"themselves","сами"
"report,"отчет
"role,"роль
"better",лучше
"economic","экономический"
"effort","усилие"
"up",вверх
"decide","решить"
"rate","скорость"
"strong","сильный"
"possible","возможный"
"heart","сердце"
"drug","наркотик"
"show","показать"
"leader,"лидер
"light","свет"
"leadership","руководство"
earn,"зарабатывать"
"pound,"фунт
"basis",основание
"bright",сиять
operate,"работать
"guest","гость
"sample","пример
"contribute",внести вклад
"tiny",маленький
"block",блок
"protection",защита
"settle","завершить"
"feed",подкормить
"collect",собирать
"additional",дополнительный
"while","пока"
"highly",очень сильно
"identity",идентичность
"title",название
"mostly",в основном
"lesson",урок
"faith",вера
"river",река
"promote",поддерживать
"living",жить
"present",презентовать
"count",считать
"unless",если не
"marry",жениться
"tomorrow","завтра"
"technique",техника
"path",путь
"ear",ухо
"shop",магазин
"order",заказ
"principle", принцип
"survive",жить
"lift",поднять
"border",граница
"competition","конкурентная борьба"
"jump",прыгнуть
"gather",собирать
"limit",ограничение
"fit",пригодный
"claim",требование
"cry",плакать
"equipment",аппаратура
"value",ценность
"counsel,"советовать
"solution","решение"
"substance",вещество
"elsewhere","в другом месте"
"iron",железо
"practical",практичный
"moreover",более того
"passion",страсть
"volunteer","волонтер"
"Word","Слово"
"The","Статья"
"Be","Быть"
"And","И"
"Of","О"
"A","А"
"In","В"
"To","Ко"
"Have","Иметь"
"It","Он"
"I","Я"
"That","Тот"
"For","Для"
"You","Вы"
"He","Он"
"With","Со"
"On","На"
"Do","Делать"
"Say","Сказать"
"This","Этот"
"They","Они"
"At","В"
"But","Но"
"We","Мы"
"Him","Его"
"From","Из"
"Not","Нет"
"N't","Не"
"By","По"
"She","Она"
"Or","Или"
"As","Как"
"What","Что"
"Go","Идти"
"Their","Их"
"Can","Может"
"Who","Кто"
"Get","Получать"
"If","Если"
"Would","Было бы"
"Her","Ее"
"All","Всё"
"My","Мой"
"Make","Сделать"
"About","О"
"Know","Знать"
"Will","Сбудет"
"As","Как"
"Up","Вверх"
"One","Одна"
"Time","Время"
"There","Там"
"Year","Год"
"So","Так"
"Think","Думать"
"When","Когда"
"Which","Который"
"Them","Им"
"Some","Некоторые"
"Me","Меня"
"People","Люди"
"Take","Брать"
"Out","Из"
"Into","Внутрь"
"Just","Только"
"See","Смотреть"
"Him","Его"
"Your","Твой"
"Come","Прийти"
"Could","Можно"
"Now","Теперь"
"Than","Чем"
"Like","Как"
"Other","Другой"
"How","Как"
"Then","Затем"
"Its","Стоит"
"Our","Наш"
"Two","Два"
"More","Больше"
"These","Эти"
"Want","Хотеть"
"Way","Путь"
"Look","Смотреть"
"First","Первый"
"Also","Также"
"New","Новый"
"Because","Поскольку"
"Day","День"
"More","Больше"
"Use","Использовать"
"No","Нет"
"Man","Человек"
"Find","Найти"
"Here","Здесь"
"Thing","Вещь"
"Give","Дать"
"Many","Много"
"Well","Хорошо"
"Only","Только"
"Those","Эти"
"Tell","Сказать"
"One","Одна"
"Very","Очень"
"Her","Ее"
"Even","Непременно"
"Back","Назад"
"Any","Кто-либо"
"Good","Хорошо"
"Woman","Женщина"
"Through","Через"
"Us","Нас"
"Life","Жизнь"
"Child","Ребёнок"
"There","Там"
"Work","Работа"
"Down","Ниже"
"May","Может"
"After","После"
"Should","Должно"
"Call","Звонить"
"World","Мир"
"Over","Над"
"School","Школа"
"Still","Теперь"
"Try","Попробовать"
"In","В"
"As","Как"
"Last","Последний"
"Ask","Спросить"
"Need","Нуждаться"
"Too","Да"
"Feel","Чувствовать"
"Three","Три"
"When","Когда"
"State","Статья"
"Never","Никогда"
"Become","Статься"
"Between","Между"
"High","Высокий"
"Really","На самом деле"
"Something","Что-то"
"Most","Большинство"
"Another","Другой"
"Much","Много"
"Family","Семья"
"Own","Свой"
"Out","Из"
"Leave","Уйти"
"Put","Положить"
"Old","Старый"
"While","Когда"
"Mean","Значить"
"On","На"
"Keep","Хранить"
"Student","Студент"
"Why","За что?"
"Let","Позволять"
"GREAT","Великий"
"Same","Тот же"
"Big","Большой"
"Group","Группа"
"Begin","Начать"
"Seem","Сказать"
"COUNTRY","Страна"
"Help","Помогать"
"Talk","Разговаривать"
"Where","Куда?"
"Turn","Переворачивать"
"Problem","Задача"
"Every","Каждый"
"Start","Начинать"
"Hand","Рука"
"Might","Может быть"
"American","Американец"
"Show","Показывать"
"Part","Часть"
"About","О"
"Against","Против"
"Place","Место"
"Over","Над"
"Such","Такой"
"Again","Заново"
"Few","Few"
"Case","Случай"
"Most","Большинство"
"Week","Неделя"
"Company","Компания"
"Where","Куда?"
"System","Система"
"Each","Каждый"
"Right","Правая"
"Program","Программа"
"Hear","Слышать"
"So","Так"
"Question","Вопрос"
"During","Во время"
"Work","Работа"
"Play","Игра"
"Government","Государство"
"Run","Бежать"
"Small","Маленький"
"Number","Число"
"Off","Сбоку"
"Always","Всегда"
"Move","Перемещать"
"Like","Похожий"
"Night","Ночь"
"Live","Жить"
"Mr","Мистер"
"Point","Точка"
"Believe","Верить"
"Hold","Держаться"
"Today","Сегодня"
"Bring","Несите"
"Happen","Событие"
"Next","Завтра"
"Without","Без"
"Before","Перед"
"Large","Большой"
"All","Все"
"Million","Миллион"
"Must","Должно"
"Home","Дом"
"Under","Под"
"Water","Вода"
"Room","Комната"
"Write","Написать"
"Mother","Мать"
"Area","Площадь"
"National","Национальный"
"Money","Деньги"
"Story","Сюжет"
"Young","Молодой"
"Fact","Факт"
"Month","Месяц"
"Different","Различный"
"Lot","Лот"
"Right","Правая"
"Study","Учиться"
"Book","Книга"
"EYE","Глаз"
"Job","Работа"
"Word","Слово"
"As","Как"
"Up","Вверх"
"One","Одна"
"Time","Время"
"There","Там"
"Year","Год"
"So","Так"
"Think","Думать"
"When","Когда"
"Which","Кто?"
"They","Они"
"Some","Некоторый"
"Me","Меня"
"People","Люди"
"Take","Брать"
"Out","Из"
"Into","Внутри"
"Just","Только"
"See","Смотреть"
"Him","Его"
"Your","Твой"
"Come","Приходить"
"Could","Кто?"
"Now","Сейчас"
"Than","Чем"
"Like","Похожий"
"Other","Другой"
"How","Как?"
"Then","Затем"
"Its","Ее"
"Our","Наши"
"Two","Два"
"More","Больше"
"These","Эти"
"WANT","Хотеть"
"WAY","Путь"
"Look","Смотреть"
"First","Первый"
"Also","Также"
"New","Новый"
"Because","Поскольку"
"Day","День"
"More","Больше"
"use","Использовать"
"No","Нет"
"Man","Человек"
"Find","Найди"
"Here","Здесь"
"Thing","Вещь"
"GIVE","Дать"
"Many","Много"
"Well","Хорошо"
"Only","Только"
"Those","Эти"
"TELL","Сказать"
"One","Одна"
"Very","Очень"
"Her","Ее"
"Even","Непременно"
"Back","Назад"
"Any","Кто-либо"
"Good","Хорошо"
"Woman","Женщина"
"Through","Через"
"Us","Нас"
"Life","Жизнь"
"Child","Ребёнок"
"There","Там"
"Work","Работа"
"Down","Ниже"
"May","Может"
"After","После"
"Should","Должно"
"Call","Звонить"
"World","Мир"
"Over","Над"
"School","Школа"
"Still","Теперь"
"Try","Попробовать"
"In","В"
"As","Как"
"Last","Последний"
"Ask","Спросить"
"Need","Нуждаться"
"Too","Да"
"Feel","Чувствовать"
"Three","Три"
"When","Когда"
"State","Статья"
"Never","Никогда"
"Become","Статься"
"Between","Между"
"High","Высокий"
"Really","На самом деле"
"Something","Что-то"
"Most","Большинство"
"Another","Другой"
"Much","Много"
"Family","Семья"
"Own","Свой"
"Out","Из"
"Leave","Уйти"
"Put","Положить"
"Old","Старый"
"While","Когда"
"Mean","Значить"
"On","На"
"Keep","Хранить"
"Student","Студент"
"Why","За что?"
"Let","Позволять"
"GREAT","Великий"
"Same","Тот же"
"Big","Большой"
"Group","Группа"
"Begin","Начать"
"Seem","Сказать"
"COUNTRY","Страна"
"Help","Помогать"
"Talk","Разговаривать"
"Where","Куда?"
"Turn","Переворачивать"
"Problem","Задача"
"Every","Каждый"
"Start","Начинать"
"Hand","Рука"
"Might","Может быть"
"American","Американец"
"Show","Показывать"
"Part","Часть"
"About","О"
"Against","Против"
"Place","Место"
"Over","Над"
"Such","Такой"
"Again","Заново"
"Few","Few"
"Case","Случай"
"Most","Большинство"
"Week","Неделя"
"Company","Компания"
"Where","Куда?"
"System","Система"
"Each","Каждый"
"Right","Правая"
"Program","Программа"
"Hear","Слышать"
"So","Так"
"Question","Вопрос"
"During","Во время"
"Work","Работа"
"Play","Игра"
"World","Мир"
"Word","Слово"
"The","Объект"
"Be","Быть"
"And","И"
"Of","Из"
"A","Один"
"In","Внутри"
"To","Кому"
"Have","Мочь"
"To","Кому"
"It","Это"
"I","Я"
"That","Тот"
"For","Для"
"You","Твой"
"He","Он"
"With","С"
"On","На"
"Do","Делать"
"SAY","Говорить"
"This","Этот"
"They","Они"
"At","У"
"But","Но"
"We","Мы"
"His","Его"
"From","Из"
"That","Тот"
"Not","Нет"
"N't","Не"
"By","Путем"
"She","Она"
"Or","Или"
"As","Как"
"What","Что"
"Go","Идти"
"Their","Их"
"Can","Мочь"
"Who","Кто?"
"You","Твой"
"He","Он"
"With","С"
"On","На"
"Do","Делать"
"SAY","Говорить"
"This","Этот"
"They","Они"
"At","У"
"But","Но"
"We","Мы"
"His","Его"
"From","Из"
"That","Тот"
"Not","Нет"
"N't","Не"
"By","Путем"
"She","Она"
"Or","Или"
"As","Как"
"What","Что"
"Go","Идти"
"Their","Их"
